Sex,Sport,Year (classe),Nb
M,Track and Field: High Jump,1896,5
M,Track and Field: Pole Vault,1896,5
M,Wrestling,1896,5
M,Swimming (all strokes): Distance,1896,6
M,Weight-Lifting,1896,10
M,Cycling: Sprints,1896,12
M,Swimming (all strokes): Sprints,1896,12
M,Fencing,1896,15
M,"Track and Field: Long, Triple jumps",1896,16
M,Track and Field: Weights,1896,16
M,Track and Field: Distance,1896,17
M,Track and Field: Middle Distance,1896,17
M,Tennis,1896,23
M,Cycling: Distance,1896,29
M,Track and Field: Sprints,1896,30
M,Shooting,1896,65
M,Gymnastics,1896,97
F,Equestrian,1900,2
M,Racquetball/Squash,1900,2
M,Track and Field: Pole Vault,1900,8
F,Golf,1900,10
M,Track and Field: High Jump,1900,11
F,Tennis,1900,12
M,Golf,1900,12
M,Swimming (all strokes): Distance,1900,16
M,Cycling: Distance,1900,23
M,Track and Field: Distance,1900,24
M,Archery,1900,32
M,Track and Field: Middle Distance,1900,33
M,Track and Field: Weights,1900,33
M,Football,1900,35
M,Tennis,1900,35
M,"Track and Field: Long, Triple jumps",1900,39
M,Rugby,1900,47
M,Water Polo,1900,53
M,Cycling: Sprints,1900,69
M,Equestrian,1900,77
M,Track and Field: Sprints,1900,86
M,Swimming (all strokes): Sprints,1900,101
M,Rowing,1900,133
M,Gymnastics,1900,135
M,Shooting,1900,221
M,Fencing,1900,317
F,Tennis,1904,11
F,Archery,1904,16
M,Track and Field: Pole Vault,1904,18
M,Water Polo,1904,21
M,Boxing,1904,24
M,Diving,1904,29
M,Weight-Lifting,1904,29
M,Lacrosse,1904,36
M,Swimming (all strokes): Distance,1904,37
M,Track and Field: High Jump,1904,46
M,Archery,1904,54
M,Football,1904,81
M,Wrestling,1904,87
M,Track and Field: Middle Distance,1904,89
M,Cycling: Distance,1904,93
M,Tennis,1904,94
M,Swimming (all strokes): Sprints,1904,100
M,"Track and Field: Long, Triple jumps",1904,102
M,Golf,1904,105
M,Cycling: Sprints,1904,106
M,Track and Field: Distance,1904,123
M,Track and Field: Weights,1904,123
M,Track and Field: Sprints,1904,137
M,Fencing,1904,189
M,Rowing,1904,246
M,Shooting,1904,320
M,Gymnastics,1904,614
F,Figure Skating,1908,8
F,Tennis,1908,12
M,Racquetball/Squash,1908,12
M,Figure Skating,1908,15
M,Track and Field: Pole Vault,1908,15
M,Swimming (all strokes): Distance,1908,19
M,Lacrosse,1908,24
F,Archery,1908,25
M,Water Polo,1908,28
M,Rugby,1908,30
M,Boxing,1908,42
M,Track and Field: High Jump,1908,45
M,Diving,1908,47
M,Archery,1908,52
M,Field Hockey,1908,68
M,Football,1908,72
M,Tennis,1908,72
M,"Track and Field: Long, Triple jumps",1908,77
M,Rowing,1908,87
M,Track and Field: Distance,1908,115
M,Cycling: Distance,1908,129
M,Swimming (all strokes): Sprints,1908,131
M,Wrestling,1908,133
M,Cycling: Sprints,1908,140
M,Track and Field: Weights,1908,158
M,Track and Field: Sprints,1908,180
M,Track and Field: Middle Distance,1908,188
M,Fencing,1908,240
M,Gymnastics,1908,349
M,Shooting,1908,444
F,Diving,1912,14
M,Swimming (all strokes): Distance,1912,19
M,Track and Field: Pole Vault,1912,25
F,Tennis,1912,30
F,Swimming (all strokes): Sprints,1912,43
M,Water Polo,1912,45
M,Track and Field: High Jump,1912,53
M,"Track and Field: Long, Triple jumps",1912,69
M,Diving,1912,72
M,Track and Field: Middle Distance,1912,116
M,Equestrian,1912,128
M,Swimming (all strokes): Sprints,1912,139
M,Tennis,1912,143
M,Track and Field: Weights,1912,143
M,Football,1912,163
M,Wrestling,1912,170
M,Rowing,1912,197
M,Track and Field: Distance,1912,238
M,Cycling: Distance,1912,242
M,Track and Field: Sprints,1912,263
M,Gymnastics,1912,310
M,Fencing,1912,379
M,Shooting,1912,794
F,Figure Skating,1920,14
M,Track and Field: Pole Vault,1920,16
M,Figure Skating,1920,17
F,Diving,1920,19
M,Track and Field: High Jump,1920,22
M,Swimming (all strokes): Distance,1920,24
M,Rugby,1920,31
F,Swimming (all strokes): Sprints,1920,47
M,"Track and Field: Long, Triple jumps",1920,50
M,Diving,1920,51
M,Field Hockey,1920,51
F,Tennis,1920,52
M,Weight-Lifting,1920,53
M,Ice Hockey,1920,60
M,Archery,1920,86
M,Track and Field: Weights,1920,86
M,Cycling: Sprints,1920,91
M,Tennis,1920,101
M,Water Polo,1920,101
M,Boxing,1920,116
M,Cycling: Distance,1920,121
M,Equestrian,1920,132
M,Swimming (all strokes): Sprints,1920,138
M,Track and Field: Middle Distance,1920,138
M,Rowing,1920,144
M,Wrestling,1920,161
M,Football,1920,190
M,Track and Field: Distance,1920,231
M,Gymnastics,1920,263
M,Track and Field: Sprints,1920,264
M,Fencing,1920,350
M,Shooting,1920,838
M,Curling,1924,16
F,Figure Skating,1924,17
M,Figure Skating,1924,20
M,Track and Field: Pole Vault,1924,20
M,Swimming (all strokes): Distance,1924,22
F,Fencing,1924,25
M,Ski Jumping,1924,27
M,Track and Field: High Jump,1924,27
F,Diving,1924,28
M,Bobsledding/Luge,1924,39
M,Rugby,1924,54
M,"Track and Field: Long, Triple jumps",1924,54
M,Diving,1924,62
F,Tennis,1924,74
M,Skiing: Nordic,1924,74
M,Cycling: Sprints,1924,81
M,Ice Hockey,1924,82
F,Swimming (all strokes): Sprints,1924,83
M,Water Polo,1924,101
M,Track and Field: Weights,1924,104
M,Weight-Lifting,1924,107
M,Speed Skating,1924,110
M,Track and Field: Middle Distance,1924,154
M,Swimming (all strokes): Sprints,1924,158
M,Cycling: Distance,1924,168
M,Tennis,1924,179
M,Boxing,1924,181
M,Equestrian,1924,194
M,Rowing,1924,196
M,Track and Field: Distance,1924,225
M,Wrestling,1924,244
M,Football,1924,279
M,Track and Field: Sprints,1924,353
M,Fencing,1924,399
M,Shooting,1924,508
M,Gymnastics,1924,638
M,Swimming (all strokes): Distance,1928,19
F,Track and Field: High Jump,1928,20
M,Track and Field: Pole Vault,1928,20
F,Track and Field: Weights,1928,21
F,Track and Field: Middle Distance,1928,25
F,Diving,1928,27
F,Fencing,1928,27
M,Figure Skating,1928,30
F,Figure Skating,1928,33
M,Track and Field: High Jump,1928,35
M,Ski Jumping,1928,38
M,Diving,1928,47
F,Gymnastics,1928,56
F,Track and Field: Sprints,1928,63
M,"Track and Field: Long, Triple jumps",1928,65
M,Skiing: Nordic,1928,90
M,Weight-Lifting,1928,94
M,Cycling: Sprints,1928,97
M,Track and Field: Weights,1928,100
M,Speed Skating,1928,106
F,Swimming (all strokes): Sprints,1928,108
M,Water Polo,1928,112
M,Track and Field: Middle Distance,1928,115
M,Ice Hockey,1928,124
M,Bobsledding/Luge,1928,126
M,Cycling: Distance,1928,130
M,Track and Field: Distance,1928,131
M,Field Hockey,1928,137
M,Boxing,1928,144
M,Swimming (all strokes): Sprints,1928,151
M,Wrestling,1928,169
M,Football,1928,219
M,Equestrian,1928,232
M,Rowing,1928,247
M,Track and Field: Sprints,1928,359
M,Fencing,1928,403
M,Gymnastics,1928,608
M,Track and Field: Pole Vault,1932,8
F,Track and Field: High Jump,1932,10
M,Track and Field: High Jump,1932,14
F,Diving,1932,15
M,Swimming (all strokes): Distance,1932,15
F,Fencing,1932,17
F,Track and Field: Weights,1932,17
M,Figure Skating,1932,19
M,Diving,1932,21
F,Figure Skating,1932,22
M,"Track and Field: Long, Triple jumps",1932,28
M,Weight-Lifting,1932,29
M,Ski Jumping,1932,34
M,Field Hockey,1932,40
M,Water Polo,1932,41
M,Shooting,1932,44
M,Cycling: Sprints,1932,48
M,Ice Hockey,1932,48
M,Bobsledding/Luge,1932,52
F,Track and Field: Sprints,1932,53
M,Track and Field: Middle Distance,1932,60
M,Track and Field: Weights,1932,60
M,Cycling: Distance,1932,61
M,Equestrian,1932,65
M,Speed Skating,1932,70
M,Skiing: Nordic,1932,74
F,Swimming (all strokes): Sprints,1932,77
M,Track and Field: Distance,1932,77
M,Boxing,1932,85
M,Wrestling,1932,90
M,Swimming (all strokes): Sprints,1932,103
M,Gymnastics,1932,147
M,Rowing,1932,166
M,Fencing,1932,175
M,Track and Field: Sprints,1932,180
F,Track and Field: High Jump,1936,17
M,Swimming (all strokes): Distance,1936,21
M,Track and Field: Pole Vault,1936,30
F,Track and Field: Weights,1936,33
F,Skiing: Alpine,1936,37
F,Diving,1936,38
M,Track and Field: High Jump,1936,40
F,Fencing,1936,41
M,Figure Skating,1936,43
F,Figure Skating,1936,44
M,Ski Jumping,1936,48
M,Diving,1936,50
F,Gymnastics,1936,64
M,Skiing: Alpine,1936,66
M,"Track and Field: Long, Triple jumps",1936,74
M,Weight-Lifting,1936,80
F,Track and Field: Sprints,1936,84
M,Team Handball,1936,105
M,Track and Field: Weights,1936,108
M,Track and Field: Middle Distance,1936,113
M,Cycling: Sprints,1936,114
M,Bobsledding/Luge,1936,118
F,Swimming (all strokes): Sprints,1936,135
M,Speed Skating,1936,140
M,Water Polo,1936,142
M,Canoe/Kayak,1936,143
M,Track and Field: Distance,1936,160
M,Shooting,1936,162
M,Field Hockey,1936,167
M,Ice Hockey,1936,173
M,Skiing: Nordic,1936,175
M,Boxing,1936,179
M,Cycling: Distance,1936,187
M,Basketball,1936,199
M,Football,1936,201
M,Swimming (all strokes): Sprints,1936,208
M,Wrestling,1936,210
M,Equestrian,1936,256
M,Track and Field: Sprints,1936,320
M,Rowing,1936,348
M,Fencing,1936,515
M,Gymnastics,1936,883
F,Canoe/Kayak,1948,10
F,Track and Field: High Jump,1948,19
M,Track and Field: Pole Vault,1948,19
F,"Track and Field: Long, Triple jumps",1948,26
M,Track and Field: High Jump,1948,27
M,Figure Skating,1948,31
F,Diving,1948,32
F,Fencing,1948,39
M,Swimming (all strokes): Distance,1948,39
F,Figure Skating,1948,40
M,Ski Jumping,1948,49
M,"Track and Field: Long, Triple jumps",1948,49
M,Diving,1948,52
F,Track and Field: Weights,1948,55
F,Gymnastics,1948,88
F,Skiing: Alpine,1948,93
M,Track and Field: Weights,1948,99
M,Track and Field: Middle Distance,1948,103
M,Bobsledding/Luge,1948,107
M,Weight-Lifting,1948,120
M,Cycling: Sprints,1948,123
M,Canoe/Kayak,1948,129
F,Track and Field: Sprints,1948,136
M,Ice Hockey,1948,139
M,Track and Field: Distance,1948,143
F,Swimming (all strokes): Sprints,1948,145
M,Speed Skating,1948,154
M,Skiing: Nordic,1948,156
M,Water Polo,1948,156
M,Field Hockey,1948,187
M,Cycling: Distance,1948,197
M,Boxing,1948,205
M,Equestrian,1948,207
M,Swimming (all strokes): Sprints,1948,214
M,Shooting,1948,216
M,Football,1948,218
M,Wrestling,1948,229
M,Skiing: Alpine,1948,267
M,Basketball,1948,287
M,Rowing,1948,318
M,Track and Field: Sprints,1948,340
M,Fencing,1948,469
M,Gymnastics,1948,972
F,Equestrian,1952,6
F,Canoe/Kayak,1952,13
F,Track and Field: High Jump,1952,17
F,Skiing: Nordic,1952,20
M,Figure Skating,1952,27
M,Track and Field: Pole Vault,1952,28
F,Diving,1952,30
F,"Track and Field: Long, Triple jumps",1952,34
M,Track and Field: High Jump,1952,36
F,Fencing,1952,37
M,Swimming (all strokes): Distance,1952,37
F,Figure Skating,1952,38
M,Ski Jumping,1952,44
F,Track and Field: Weights,1952,61
M,"Track and Field: Long, Triple jumps",1952,62
M,Diving,1952,67
M,Bobsledding/Luge,1952,96
M,Track and Field: Weights,1952,111
F,Skiing: Alpine,1952,127
M,Track and Field: Middle Distance,1952,137
M,Weight-Lifting,1952,142
M,Speed Skating,1952,145
M,Ice Hockey,1952,147
M,Field Hockey,1952,157
M,Skiing: Nordic,1952,168
M,Canoe/Kayak,1952,171
M,Cycling: Sprints,1952,171
F,Swimming (all strokes): Sprints,1952,182
F,Track and Field: Sprints,1952,188
M,Water Polo,1952,191
M,Track and Field: Distance,1952,198
M,Cycling: Distance,1952,218
M,Boxing,1952,249
M,Skiing: Alpine,1952,251
M,Equestrian,1952,257
M,Wrestling,1952,262
M,Swimming (all strokes): Sprints,1952,264
M,Shooting,1952,289
M,Basketball,1952,294
M,Football,1952,294
M,Rowing,1952,406
M,Track and Field: Sprints,1952,444
M,Fencing,1952,472
F,Gymnastics,1952,926
M,Gymnastics,1952,1465
F,Canoe/Kayak,1956,10
F,Track and Field: High Jump,1956,19
F,"Track and Field: Long, Triple jumps",1956,19
M,Track and Field: Pole Vault,1956,19
M,Swimming (all strokes): Distance,1956,20
F,Equestrian,1956,23
F,Fencing,1956,23
M,Figure Skating,1956,27
M,Track and Field: High Jump,1956,28
F,Figure Skating,1956,32
F,Diving,1956,36
M,Diving,1956,46
M,Ski Jumping,1956,51
F,Track and Field: Weights,1956,59
M,"Track and Field: Long, Triple jumps",1956,64
F,Skiing: Nordic,1956,70
M,Track and Field: Weights,1956,77
M,Water Polo,1956,96
M,Track and Field: Middle Distance,1956,98
M,Weight-Lifting,1956,105
F,Track and Field: Sprints,1956,119
M,Cycling: Sprints,1956,125
M,Bobsledding/Luge,1956,135
M,Canoe/Kayak,1956,136
M,Track and Field: Distance,1956,136
M,Football,1956,143
F,Skiing: Alpine,1956,144
F,Swimming (all strokes): Sprints,1956,155
M,Boxing,1956,161
M,Cycling: Distance,1956,167
M,Basketball,1956,169
M,Ice Hockey,1956,169
M,Field Hockey,1956,173
M,Speed Skating,1956,179
M,Swimming (all strokes): Sprints,1956,181
M,Wrestling,1956,195
M,Skiing: Nordic,1956,205
M,Shooting,1956,219
M,Fencing,1956,255
M,Rowing,1956,258
M,Skiing: Alpine,1956,259
M,Equestrian,1956,275
M,Track and Field: Sprints,1956,360
F,Gymnastics,1956,430
M,Gymnastics,1956,483
F,Equestrian,1960,9
F,Track and Field: High Jump,1960,23
F,Track and Field: Middle Distance,1960,27
M,Track and Field: Pole Vault,1960,29
F,"Track and Field: Long, Triple jumps",1960,30
M,Swimming (all strokes): Distance,1960,30
M,Figure Skating,1960,32
M,Track and Field: High Jump,1960,32
F,Canoe/Kayak,1960,35
F,Diving,1960,36
F,Figure Skating,1960,39
